Time,Error
47940,607.482499
48000,518.420842
48060,352.658855
48120,165.660333
48180,256.656516
48240,533.454246
48300,813.546434
48360,1054.379875
48420,1229.507007
48480,1321.183379
48540,1320.657958
48600,1228.540111
48660,1054.463819
48720,816.023553
48720,816.023553
48780,903.602196
48840,1022.549563
48900,1116.826896
48960,1184.668746
49020,1254.186636
49080,1340.670512
49140,1432.694287
49200,1506.696934
49260,1545.657978
49320,1545.323465
49380,1509.437118
49440,1443.631486
49500,1353.68273
49560,1246.95488
49620,1133.44256
49680,1024.813911
49740,932.353524
49800,865.267345
49860,829.909142
49920,829.610275
49980,864.615841
50040,931.944641
50100,1025.376116
50160,1135.86434
50220,1252.445041
50280,1363.452008
50340,1457.800841
50400,1526.157876
50460,1561.876007
50520,1561.618731
50580,1525.626358
50640,1457.618728
50700,1364.369734
50760,1255.017977
50820,1140.188209
50880,1030.997556
50940,938.020445
51000,870.297451
51060,834.488473
51120,834.257642
51180,869.914809
51240,938.300866
51300,1032.961125
51360,1144.68879
51420,1262.437071
51480,1374.485145
51540,1469.691773
51600,1538.669375
51660,1574.736505
51720,1574.548449
51780,1538.358334
51840,1469.912039
51900,1376.019198
51960,1265.864542
52020,1150.132067
52080,1040.015455
52140,946.18836
52200,877.813606
52260,841.676763
52320,841.524113
52380,877.658458
52440,946.826298
52500,1042.440162
52560,1155.170676
52620,1273.87767
52680,1386.773777
52740,1482.670753
52800,1552.149079
52860,1588.508987
52920,1588.401001
52980,1552.086794
53040,1483.333233
53100,1388.981758
53160,1278.258094
53220,1161.895739
53280,1051.147213
53340,956.756576
53400,887.967429
53460,851.643496
53520,851.578689
53580,888.067723
53640,957.796302
53700,1054.09291
53760,1167.548816
53820,1286.960007
53880,1400.490122
53940,1496.913867
54000,1566.785341
54060,1603.389391
54120,1603.372761
54180,1567.005131
54240,1498.072399
54300,1403.444463
54360,1292.382811
54420,1175.661471
54480,1064.575796
54540,969.912081
54600,900.951634
54660,864.585511
54720,864.618083
54780,901.334856
54840,971.397034
54900,1068.100883
54960,1182.00325
55020,1301.865912
55080,1415.820076
55140,1512.611826
55200,1582.773052
55260,1619.575062
55320,1619.661358
55380,1583.309135
55440,1514.321971
55500,1419.595918
55560,1308.4241
55620,1191.61319
55680,1080.485682
55740,985.84146
55800,916.955293
55860,880.693411
55920,880.832613
55980,917.648347
56040,987.81444
56100,1084.647959
56160,1198.71725
56220,1318.779837
56280,1432.950613
56340,1529.954682
56400,1600.304945
56460,1637.260326
56520,1637.461194
56580,1601.191824
56640,1532.27257
56700,1437.623955
56760,1326.567298
56820,1209.934322
56880,1099.058881
56940,1004.725271
57000,936.157094
57060,900.144189
57120,900.398902
57180,937.185961
57240,1007.228041
57300,1103.915243
57360,1217.873324
57420,1337.885851
57480,1452.067727
57540,1549.130469
57600,1619.570723
57660,1656.635756
57720,1656.962675
57780,1620.842423
57840,1552.111445
57900,1457.713363
