Time,True Heading
59340,1.370559
59400,1.372961
59460,1.375366
59520,1.377774
59580,1.380186
59640,1.3826
59700,1.385017
59760,1.387436
59820,1.389859
59880,1.392284
59940,1.394712
60000,1.397143
60060,1.399577
60120,1.402013
60180,1.404451
60240,1.406893
60300,1.409336
60360,1.411783
60420,1.414232
60480,1.416683
60540,1.419137
60600,1.421593
60660,1.424051
60720,1.426512
60780,1.428975
60840,1.43144
60900,1.433907
60960,1.436377
61020,1.438848
61080,1.441322
61140,1.443798
61200,1.446276
61260,1.448756
61320,1.451237
61380,1.453721
61440,1.456206
61500,1.458694
61560,1.461183
61620,1.463673
61680,1.466166
61740,1.46866
61800,1.471156
61860,1.473653
61920,1.476152
61980,1.478653
62040,1.481155
62100,1.483658
62160,1.486163
62220,1.48867
62280,1.491177
62340,1.493686
62400,1.496196
62460,1.498707
62520,1.50122
62580,1.503733
62640,1.506248
62700,1.508764
62760,1.51128
62820,1.513798
62880,1.516316
62940,1.518836
63000,1.521356
63060,1.523877
63120,1.526399
63180,1.528922
63240,1.531445
63300,1.533969
63360,1.536494
63420,1.539019
63480,1.541544
63540,1.54407
63600,1.546597
63660,1.549124
63720,1.551651
63780,1.554179
63840,1.556706
63900,1.559234
63960,1.561763
64020,1.564291
64080,1.56682
64140,1.569348
64200,1.571877
64260,1.574406
64320,1.576934
64380,1.579463
64440,1.581991
64500,1.584519
64560,1.587047
64620,1.589574
64680,1.592102
64740,1.594629
64800,1.597155
64860,1.599681
64920,1.602207
64980,1.604732
65040,1.607257
65100,1.609781
65160,1.612304
65220,1.614827
65280,1.617349
65340,1.61987
65400,1.622391
65460,1.62491
65520,1.627429
65580,1.629947
65640,1.632464
65700,1.634979
65760,1.637494
65820,1.640008
65880,1.64252
65940,1.645032
66000,1.647542
66060,1.650051
66120,1.652559
66180,1.655065
66240,1.65757
66300,1.660074
66360,1.662576
66420,1.665077
66480,1.667576
66540,1.670074
66600,1.67257
66660,1.675064
66720,1.677557
66780,1.680048
66840,1.682538
66900,1.685025
66960,1.687511
67020,1.689995
67080,1.692477
67140,1.694957
67200,1.697435
67260,1.699911
67320,1.702385
67380,1.704857
67440,1.707327
67500,1.709794
67560,1.71226
67620,1.714723
67680,1.717184
67740,1.719643
67800,1.722099
67860,1.724553
67920,1.727005
67980,1.729454
68040,1.731901
68100,1.734345
68160,1.736787
68220,1.739226
68280,1.741662
68340,1.744096
